Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Groq,https://www.crunchbase.com/organization/groq,Growing,Private,For Profit,101-250,Made Acquisitions,Series D,2024-08-05,,2016-01-01,year,Active,,,1,6,Late Stage Venture,640000000,USD,640000000,640000000,USD,640000000,Series D,1002550552,USD,1002550552,1002550552,USD,1002550552,"BlackRock, Neuberger Berman, Alumni Ventures, Tiger Global Management, Daniel Gross",37,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Electronics, Machine Learning, Semiconductor","Mountain View, California, United States",
Fidelity,https://www.crunchbase.com/organization/fidelity-investments,,Private,For Profit,10001+,Made Acquisitions,Secondary Market,2020-12-28,Investment Bank,1946-01-01,year,Active,,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",1,8,,2500000,USD,2500000,,,,,,,,152825000,USD,152825000,Scott Barber,1,"Greater Boston Area, East Coast, New England","Community and Lifestyle, Financial Services, Other",,,,,,"Asset Management, Finance, Financial Services, Retirement, Wealth Management","Boston, Massachusetts, United States",492
Rainmatter Capital,https://www.crunchbase.com/organization/rainmatter-capital,Growing,Private,For Profit,1-10,,Corporate Round,2023-08-10,Incubator,2016-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Seed",1,1,,1000000000,INR,12077274,1000000000,INR,12077274,Corporate Round,1000000000,INR,12077274,1000000000,INR,12077274,Zerodha,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Financial Services, FinTech, Venture Capital","Bengalooru, Karnataka, India",104
Airbase,https://www.crunchbase.com/organization/airbase,,Private,For Profit,251-500,Was Acquired,Debt Financing,2022-07-15,,2017-01-01,year,Active,,,1,5,M&A,150000000,USD,150000000,11000000,USD,11000000,Series B,101500000,USD,101500000,251500000,USD,251500000,"Menlo Ventures, Alumni Ventures, Goldman Sachs, First Round Capital, Quiet Capital",22,"San Francisco Bay Area, West Coast, Western US",Financial Services,,,,,,"Finance, Financial Services, FinTech","San Francisco, California, United States",
TON Provider,https://www.crunchbase.com/organization/ton-provider,Growing,Private,For Profit,1-10,,Seed,2023-11-29,,2021-09-15,day,Active,,,1,2,Seed,2500000,USD,2500000,2500000,USD,2500000,Seed,4134090,USD,4134090,4134090,USD,4134090,,,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Hardware, Information Technology, Internet Services, Other, Software",,High,,,,"Blockchain, Data Center, Information Technology, Infrastructure, Internet, IT Infrastructure, Network Hardware, Software","Zürich, Zurich, Switzerland",
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,,Private,Non-profit,10001+,,Grant,2017-08-15,Entrepreneurship Program,1887-01-01,day,Active,,"Grant, Seed",1,1,,5000000,USD,5000000,,,,,,,,5000000,USD,5000000,,,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Bethesda, Maryland, United States",896
Caresyntax,https://www.crunchbase.com/organization/caresyntax,Growing,Private,For Profit,101-250,Made Acquisitions,Debt Financing,2024-08-15,,2013-01-01,year,Active,,,1,7,Late Stage Venture,100000000,USD,100000000,80000000,USD,80000000,Series C,287500000,USD,287500000,387500000,USD,387500000,"BlackRock, Bioniq, Mitsubishi Corporation, Intel Capital, Plug and Play",26,"Greater Boston Area, East Coast, New England","Artificial Intelligence (AI), Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",$100M to $500M,,,,,"Analytics, Artificial Intelligence (AI), Data Visualization, Health Care, Medical, Software","Boston, Massachusetts, United States",
Jupiter,https://www.crunchbase.com/organization/amica-financial-technologies,,Private,For Profit,501-1000,Made Acquisitions,Venture - Series Unknown,2024-06-21,,2019-08-01,day,Active,,,1,6,,2400000,USD,2400000,2400000,USD,2400000,Venture - Series Unknown,157400000,USD,157400000,169484594,USD,169484594,"Rainmatter Capital, Titan Capital, Matrix Partners India, MUFG Bank, Alteria Capital",26,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Professional Services",,,,,,"Banking, Consulting, Finance, Financial Services, FinTech, Wealth Management","Mumbai, Maharashtra, India",2
Polymarket,https://www.crunchbase.com/organization/polymarket,Growing,Private,For Profit,11-50,,Series B,2024-05-14,,2020-03-01,month,Active,,,1,3,Early Stage Venture,45000000,USD,45000000,45000000,USD,45000000,Series B,74000000,USD,74000000,74000000,USD,74000000,"General Catalyst, Polychain, Robot Ventures, Balaji Srinivasan, Founders Fund",20,"Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",,High,,,,"Blockchain, Cryptocurrency, Predictive Analytics","New York, New York, United States",
Gate.io,https://www.crunchbase.com/organization/gate-io,,Private,For Profit,101-250,,Series A,2022-05-16,,2013-01-01,year,Active,,,1,3,Early Stage Venture,10000000,USD,10000000,10000000,USD,10000000,Series A,74000000,USD,74000000,74000000,USD,74000000,"Gate Ventures, 5 BLOCKS CAPITAL",2,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,,,,,"Bitcoin, Cryptocurrency, Ethereum, FinTech, Trading Platform","George Town, Midland, Cayman Islands",61
