Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Groq,https://www.crunchbase.com/organization/groq,Growing,Private,For Profit,101-250,Made Acquisitions,Series D,2024-08-05,,2016-01-01,year,Active,,,1,6,Late Stage Venture,640000000,USD,640000000,640000000,USD,640000000,Series D,1002550552,USD,1002550552,1002550552,USD,1002550552,"BlackRock, Neuberger Berman, Alumni Ventures, Tiger Global Management, Daniel Gross",37,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Electronics, Machine Learning, Semiconductor","Mountain View, California, United States",
Rainmatter Capital,https://www.crunchbase.com/organization/rainmatter-capital,Growing,Private,For Profit,1-10,,Corporate Round,2023-08-10,Incubator,2016-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Seed",1,1,,1000000000,INR,12077274,1000000000,INR,12077274,Corporate Round,1000000000,INR,12077274,1000000000,INR,12077274,Zerodha,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Financial Services, FinTech, Venture Capital","Bengalooru, Karnataka, India",104
Ant Group,https://www.crunchbase.com/organization/ant-group,,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2022-11-01,,2014-10-01,month,Active,,,1,7,Late Stage Venture,6500000000,USD,6500000000,14000000000,USD,14000000000,Series C,18500000000,USD,18500000000,28500000000,USD,28500000000,"Warburg Pincus, Sequoia Capital, Silver Lake, The Carlyle Group, Banco Bilbao Vizcaya Argentaria",22,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Payments",,,,,,"Banking, Financial Services, FinTech, Payments","Hangzhou, Zhejiang, China",124
Fidelity,https://www.crunchbase.com/organization/fidelity-investments,,Private,For Profit,10001+,Made Acquisitions,Secondary Market,2020-12-28,Investment Bank,1946-01-01,year,Active,,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",1,8,,2500000,USD,2500000,,,,,,,,152825000,USD,152825000,Scott Barber,1,"Greater Boston Area, East Coast, New England","Community and Lifestyle, Financial Services, Other",,,,,,"Asset Management, Finance, Financial Services, Retirement, Wealth Management","Boston, Massachusetts, United States",492
Airbase,https://www.crunchbase.com/organization/airbase,,Private,For Profit,251-500,Was Acquired,Debt Financing,2022-07-15,,2017-01-01,year,Active,,,1,5,M&A,150000000,USD,150000000,11000000,USD,11000000,Series B,101500000,USD,101500000,251500000,USD,251500000,"Menlo Ventures, Alumni Ventures, Goldman Sachs, First Round Capital, Quiet Capital",22,"San Francisco Bay Area, West Coast, Western US",Financial Services,,,,,,"Finance, Financial Services, FinTech","San Francisco, California, United States",
TON Provider,https://www.crunchbase.com/organization/ton-provider,Growing,Private,For Profit,1-10,,Seed,2023-11-29,,2021-09-15,day,Active,,,1,2,Seed,2500000,USD,2500000,2500000,USD,2500000,Seed,4134090,USD,4134090,4134090,USD,4134090,,,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Hardware, Information Technology, Internet Services, Other, Software",,High,,,,"Blockchain, Data Center, Information Technology, Infrastructure, Internet, IT Infrastructure, Network Hardware, Software","Zürich, Zurich, Switzerland",
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,,Private,Non-profit,10001+,,Grant,2017-08-15,Entrepreneurship Program,1887-01-01,day,Active,,"Grant, Seed",1,1,,5000000,USD,5000000,,,,,,,,5000000,USD,5000000,,,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Bethesda, Maryland, United States",898
SafetyCulture,https://www.crunchbase.com/organization/safetyculture,Growing,Private,For Profit,501-1000,Made Acquisitions,Secondary Market,2024-09-09,,2004-03-12,day,Active,,,1,12,,90000000,AUD,59919947,75000000,AUD,49933289,Venture - Series Unknown,293551132,USD,293551132,355064892,USD,355064892,"Blackbird Ventures, Insight Partners, Tiger Global Management, Index Ventures, Airtree Ventures",19,"Asia-Pacific (APAC), Australasia","Apps, Government and Military, Software",,Medium,,,,"Apps, Public Safety, SaaS, Software","Sydney, New South Wales, Australia",5
Hotel Engine,https://www.crunchbase.com/organization/hotel-engine,,Private,For Profit,501-1000,,Series C,2024-09-17,,2015-01-01,year,Active,,,1,3,Late Stage Venture,140000000,USD,140000000,140000000,USD,140000000,Series C,221000000,USD,221000000,221000000,USD,221000000,"Permira, Blackstone Group, Telescope Partners",3,"Greater Denver Area, Western US",Travel and Tourism,,,,,,"Business Travel, Hospitality, Hotel, Travel","Denver, Colorado, United States",
Gate.io,https://www.crunchbase.com/organization/gate-io,,Private,For Profit,101-250,,Series A,2022-05-16,,2013-01-01,year,Active,,,1,3,Early Stage Venture,10000000,USD,10000000,10000000,USD,10000000,Series A,74000000,USD,74000000,74000000,USD,74000000,"Gate Ventures, 5 BLOCKS CAPITAL",2,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,,,,,"Bitcoin, Cryptocurrency, Ethereum, FinTech, Trading Platform","George Town, Midland, Cayman Islands",63
