Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
OpenAI,https://www.crunchbase.com/organization/openai,,Private,For Profit,251-500,Made Acquisitions,Secondary Market,2024-02-16,"Micro VC, Venture Capital",2015-12-11,day,Active,,Early Stage Venture,11,7,,,,,10000000000,USD,10000000000,Corporate Round,11000120000,USD,11000120000,11300120000,USD,11300120000,"Khosla Ventures, Andreessen Horowitz, Thrive Capital, Sequoia Capital, Microsoft",17,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States",14
Groq,https://www.crunchbase.com/organization/groq,Growing,Private,For Profit,101-250,Made Acquisitions,Series D,2024-08-05,,2016-01-01,year,Active,,,1,6,Late Stage Venture,640000000,USD,640000000,640000000,USD,640000000,Series D,1002550552,USD,1002550552,1002550552,USD,1002550552,"BlackRock, Neuberger Berman, Alumni Ventures, Tiger Global Management, Daniel Gross",37,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Electronics, Machine Learning, Semiconductor","Mountain View, California, United States",
Sakana AI,https://www.crunchbase.com/organization/sakana-ai,Growing,Private,,11-50,,Series A,2024-09-04,,2023-01-01,year,Active,,,3,2,Early Stage Venture,70000000,USD,70000000,70000000,USD,70000000,Series A,100000000,USD,100000000,100000000,USD,100000000,"NVIDIA, Sony, Khosla Ventures, 500 Global, Global Brain Corporation",27,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Generative AI, Information Technology","Tokyo, Tokyo, Japan",
BitGo,https://www.crunchbase.com/organization/bitgo,,Private,For Profit,101-250,Made Acquisitions,Corporate Round,2024-01-24,,2013-01-01,year,Active,,,3,7,,,,,,,,Corporate Round,171500000,USD,171500000,171500000,USD,171500000,"Goldman Sachs, Brink’s, Galaxy Digital, Founders Fund, Digital Currency Group",25,"San Francisco Bay Area, Silicon Valley, West Coast","Blockchain and Cryptocurrency, Financial Services, Payments, Software",,,,,,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Virtual Currency","Palo Alto, California, United States",2
BlackSoil,https://www.crunchbase.com/organization/blacksoil,Growing,Private,For Profit,51-100,,Debt Financing,2024-03-11,"Micro VC, Venture Debt",2010-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",2,8,,17000000000,INR,205367365,1000000000,INR,12080433,Venture - Series Unknown,37080433,USD,37080433,280173867,USD,280173867,"Florintree Advisors, All Cargo Logistics, Navneet Education Ltd, Mathew Cyriac, Mahavir Agencies",5,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,High,,,,"Banking, Finance, Financial Services","Mumbai, Maharashtra, India",94
Grafana Labs,https://www.crunchbase.com/organization/raintank,Growing,Private,For Profit,1001-5000,Made Acquisitions,Series D,2024-08-21,,2014-01-01,year,Active,,,3,8,Late Stage Venture,270000000,USD,270000000,270000000,USD,270000000,Series D,805230000,USD,805230000,805230000,USD,805230000,"Sequoia Capital, Lightspeed Venture Partners, JP Morgan, K5 Global, Coatue",10,"Greater New York Area, East Coast, Northeastern US","Data and Analytics, Design, Information Technology, Internet Services, Software",,High,,,,"Analytics, Cloud Data Services, Data Visualization, Open Source, Software","New York, New York, United States",
Techstars,https://www.crunchbase.com/organization/techstars,,Private,For Profit,251-500,Made Acquisitions,Pre-Seed,2022-01-01,"Accelerator, Venture Capital",2006-08-01,day,Active,,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",7,7,Seed,120000,USD,120000,120000,USD,120000,Pre-Seed,108919999,USD,108919999,108919999,USD,108919999,"Mercury, Foundry Group, SVB Financial Group, LaunchCapital, Avalon Ventures",10,"Greater Denver Area, Western US","Financial Services, Lending and Investments, Professional Services",,,,,,"Consulting, Finance, Financial Services, FinTech, Incubators","Boulder, Colorado, United States","6,079"
Rainmatter Capital,https://www.crunchbase.com/organization/rainmatter-capital,Growing,Private,For Profit,1-10,,Corporate Round,2023-08-10,Incubator,2016-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Seed",1,1,,1000000000,INR,12077274,1000000000,INR,12077274,Corporate Round,1000000000,INR,12077274,1000000000,INR,12077274,Zerodha,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Financial Services, FinTech, Venture Capital","Bengalooru, Karnataka, India",104
Antler,https://www.crunchbase.com/organization/antler-be9c,,Private,For Profit,251-500,,Venture - Series Unknown,2024-02-17,"Accelerator, Venture Capital",2018-01-01,year,Active,,"Early Stage Venture, Seed, Venture",12,5,,,,,,,,Venture - Series Unknown,82200000,USD,82200000,82200000,USD,82200000,"Credit Saison, Concentric, Farvatn Venture, FinTech Collective, KWAP",14,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Financial Services, Lending and Investments",,,,,,"Finance, Financial Services, Venture Capital","Singapore, Central Region, Singapore","1,471"
Ant Group,https://www.crunchbase.com/organization/ant-group,,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2022-11-01,,2014-10-01,month,Active,,,1,7,Late Stage Venture,6500000000,USD,6500000000,14000000000,USD,14000000000,Series C,18500000000,USD,18500000000,28500000000,USD,28500000000,"Warburg Pincus, Sequoia Capital, Silver Lake, The Carlyle Group, Banco Bilbao Vizcaya Argentaria",22,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Payments",,,,,,"Banking, Financial Services, FinTech, Payments","Hangzhou, Zhejiang, China",124
